,issue_year,issue_month,reduced_reason,count,month
100,2008,Jan,Business,9,January
222,2009,Jan,Business,2,January
352,2010,Jan,Business,6,January
484,2011,Jan,Business,30,January
616,2012,Jan,Business,73,January
748,2013,Jan,Business,54,January
874,2014,Jan,Business,143,January
984,2015,Jan,Business,263,January
1093,2016,Jan,Business,296,January
1201,2017,Jan,Business,384,January
1309,2018,Jan,Business,449,January
101,2008,Jan,Car,46,January
223,2009,Jan,Car,49,January
353,2010,Jan,Car,59,January
485,2011,Jan,Car,203,January
617,2012,Jan,Car,449,January
749,2013,Jan,Car,1272,January
875,2014,Jan,Car,3624,January
985,2015,Jan,Car,7753,January
1094,2016,Jan,Car,7421,January
1202,2017,Jan,Car,6705,January
1310,2018,Jan,Car,8134,January
102,2008,Jan,Debt/Credit Issues,62,January
224,2009,Jan,Debt/Credit Issues,77,January
354,2010,Jan,Debt/Credit Issues,159,January
486,2011,Jan,Debt/Credit Issues,449,January
618,2012,Jan,Debt/Credit Issues,1029,January
750,2013,Jan,Debt/Credit Issues,3297,January
876,2014,Jan,Debt/Credit Issues,8079,January
986,2015,Jan,Debt/Credit Issues,21212,January
1095,2016,Jan,Debt/Credit Issues,16059,January
1203,2017,Jan,Debt/Credit Issues,17231,January
1311,2018,Jan,Debt/Credit Issues,17187,January
103,2008,Jan,Home,12,January
225,2009,Jan,Home,12,January
355,2010,Jan,Home,31,January
487,2011,Jan,Home,54,January
619,2012,Jan,Home,117,January
751,2013,Jan,Home,314,January
877,2014,Jan,Home,658,January
987,2015,Jan,Home,1579,January
1096,2016,Jan,Home,1713,January
1204,2017,Jan,Home,2082,January
1312,2018,Jan,Home,2601,January
104,2008,Jan,Major Purchase,12,January
226,2009,Jan,Major Purchase,6,January
356,2010,Jan,Major Purchase,6,January
488,2011,Jan,Major Purchase,22,January
620,2012,Jan,Major Purchase,29,January
752,2013,Jan,Major Purchase,42,January
878,2014,Jan,Major Purchase,171,January
988,2015,Jan,Major Purchase,478,January
1097,2016,Jan,Major Purchase,533,January
1205,2017,Jan,Major Purchase,608,January
1313,2018,Jan,Major Purchase,961,January
105,2008,Jan,Medical,5,January
227,2009,Jan,Medical,3,January
357,2010,Jan,Medical,1,January
489,2011,Jan,Medical,22,January
621,2012,Jan,Medical,26,January
753,2013,Jan,Medical,48,January
879,2014,Jan,Medical,160,January
989,2015,Jan,Medical,250,January
1098,2016,Jan,Medical,299,January
1206,2017,Jan,Medical,382,January
1314,2018,Jan,Medical,528,January
106,2008,Jan,Moving,5,January
358,2010,Jan,Moving,8,January
490,2011,Jan,Moving,11,January
622,2012,Jan,Moving,9,January
754,2013,Jan,Moving,31,January
880,2014,Jan,Moving,57,January
990,2015,Jan,Moving,159,January
1099,2016,Jan,Moving,165,January
1207,2017,Jan,Moving,219,January
1315,2018,Jan,Moving,223,January
107,2008,Jan,Other,118,January
228,2009,Jan,Other,91,January
359,2010,Jan,Other,283,January
491,2011,Jan,Other,452,January
623,2012,Jan,Other,598,January
755,2013,Jan,Other,1329,January
881,2014,Jan,Other,1365,January
991,2015,Jan,Other,1434,January
1100,2016,Jan,Other,1416,January
1208,2017,Jan,Other,1839,January
1316,2018,Jan,Other,3057,January
108,2008,Jan,Student,12,January
229,2009,Jan,Student,9,January
360,2010,Jan,Student,10,January
492,2011,Jan,Student,10,January
624,2012,Jan,Student,9,January
756,2013,Jan,Student,21,January
882,2014,Jan,Student,13,January
992,2015,Jan,Student,1,January
109,2008,Jan,Vacation,1,January
230,2009,Jan,Vacation,1,January
361,2010,Jan,Vacation,1,January
493,2011,Jan,Vacation,8,January
625,2012,Jan,Vacation,14,January
757,2013,Jan,Vacation,15,January
883,2014,Jan,Vacation,54,January
993,2015,Jan,Vacation,138,January
1101,2016,Jan,Vacation,133,January
1209,2017,Jan,Vacation,200,January
1317,2018,Jan,Vacation,201,January
110,2008,Jan,Wedding,8,January
231,2009,Jan,Wedding,11,January
362,2010,Jan,Wedding,16,January
494,2011,Jan,Wedding,38,January
626,2012,Jan,Wedding,37,January
758,2013,Jan,Wedding,54,January
884,2014,Jan,Wedding,35,January
89,2008,Feb,Business,13,February
211,2009,Feb,Business,8,February
341,2010,Feb,Business,12,February
473,2011,Feb,Business,26,February
605,2012,Feb,Business,68,February
737,2013,Feb,Business,61,February
864,2014,Feb,Business,131,February
975,2015,Feb,Business,228,February
1084,2016,Feb,Business,334,February
1192,2017,Feb,Business,327,February
1300,2018,Feb,Business,422,February
90,2008,Feb,Car,75,February
212,2009,Feb,Car,46,February
342,2010,Feb,Car,81,February
474,2011,Feb,Car,181,February
606,2012,Feb,Car,466,February
738,2013,Feb,Car,1468,February
865,2014,Feb,Car,3837,February
976,2015,Feb,Car,5494,February
1085,2016,Feb,Car,8587,February
1193,2017,Feb,Car,5948,February
1301,2018,Feb,Car,7146,February
91,2008,Feb,Debt/Credit Issues,81,February
213,2009,Feb,Debt/Credit Issues,80,February
343,2010,Feb,Debt/Credit Issues,181,February
475,2011,Feb,Debt/Credit Issues,410,February
607,2012,Feb,Debt/Credit Issues,1022,February
739,2013,Feb,Debt/Credit Issues,3635,February
866,2014,Feb,Debt/Credit Issues,8077,February
977,2015,Feb,Debt/Credit Issues,13828,February
1086,2016,Feb,Debt/Credit Issues,19529,February
1194,2017,Feb,Debt/Credit Issues,14531,February
1302,2018,Feb,Debt/Credit Issues,15329,February
92,2008,Feb,Home,11,February
214,2009,Feb,Home,9,February
344,2010,Feb,Home,29,February
476,2011,Feb,Home,64,February
608,2012,Feb,Home,133,February
740,2013,Feb,Home,322,February
867,2014,Feb,Home,732,February
978,2015,Feb,Home,1118,February
1087,2016,Feb,Home,2206,February
1195,2017,Feb,Home,1936,February
1303,2018,Feb,Home,2423,February
93,2008,Feb,Major Purchase,3,February
215,2009,Feb,Major Purchase,3,February
345,2010,Feb,Major Purchase,10,February
477,2011,Feb,Major Purchase,14,February
609,2012,Feb,Major Purchase,25,February
741,2013,Feb,Major Purchase,57,February
868,2014,Feb,Major Purchase,187,February
979,2015,Feb,Major Purchase,365,February
1088,2016,Feb,Major Purchase,723,February
1196,2017,Feb,Major Purchase,578,February
1304,2018,Feb,Major Purchase,943,February
94,2008,Feb,Medical,3,February
216,2009,Feb,Medical,2,February
346,2010,Feb,Medical,2,February
478,2011,Feb,Medical,17,February
610,2012,Feb,Medical,25,February
742,2013,Feb,Medical,36,February
869,2014,Feb,Medical,150,February
980,2015,Feb,Medical,168,February
1089,2016,Feb,Medical,381,February
1197,2017,Feb,Medical,356,February
1305,2018,Feb,Medical,449,February
95,2008,Feb,Moving,4,February
217,2009,Feb,Moving,2,February
347,2010,Feb,Moving,5,February
479,2011,Feb,Moving,8,February
611,2012,Feb,Moving,13,February
743,2013,Feb,Moving,26,February
870,2014,Feb,Moving,55,February
981,2015,Feb,Moving,110,February
1090,2016,Feb,Moving,193,February
1198,2017,Feb,Moving,183,February
1306,2018,Feb,Moving,207,February
96,2008,Feb,Other,91,February
218,2009,Feb,Other,126,February
348,2010,Feb,Other,271,February
480,2011,Feb,Other,414,February
612,2012,Feb,Other,556,February
744,2013,Feb,Other,1447,February
871,2014,Feb,Other,498,February
982,2015,Feb,Other,889,February
1091,2016,Feb,Other,1727,February
1199,2017,Feb,Other,1625,February
1307,2018,Feb,Other,2566,February
97,2008,Feb,Student,8,February
219,2009,Feb,Student,9,February
349,2010,Feb,Student,23,February
481,2011,Feb,Student,7,February
613,2012,Feb,Student,14,February
745,2013,Feb,Student,19,February
98,2008,Feb,Vacation,2,February
220,2009,Feb,Vacation,1,February
350,2010,Feb,Vacation,2,February
482,2011,Feb,Vacation,4,February
614,2012,Feb,Vacation,11,February
746,2013,Feb,Vacation,14,February
872,2014,Feb,Vacation,57,February
983,2015,Feb,Vacation,91,February
1092,2016,Feb,Vacation,168,February
1200,2017,Feb,Vacation,198,February
1308,2018,Feb,Vacation,190,February
99,2008,Feb,Wedding,7,February
221,2009,Feb,Wedding,9,February
351,2010,Feb,Wedding,12,February
483,2011,Feb,Wedding,42,February
615,2012,Feb,Wedding,27,February
747,2013,Feb,Wedding,63,February
873,2014,Feb,Wedding,2,February
131,2008,Mar,Business,14,March
254,2009,Mar,Business,19,March
385,2010,Mar,Business,11,March
517,2011,Mar,Business,36,March
649,2012,Mar,Business,68,March
781,2013,Mar,Business,75,March
903,2014,Mar,Business,158,March
1012,2015,Mar,Business,215,March
1120,2016,Mar,Business,608,March
1228,2017,Mar,Business,400,March
1336,2018,Mar,Business,423,March
132,2008,Mar,Car,76,March
255,2009,Mar,Car,57,March
386,2010,Mar,Car,96,March
518,2011,Mar,Car,196,March
650,2012,Mar,Car,456,March
782,2013,Mar,Car,1468,March
904,2014,Mar,Car,4026,March
1013,2015,Mar,Car,5863,March
1121,2016,Mar,Car,12559,March
1229,2017,Mar,Car,7902,March
1337,2018,Mar,Car,8431,March
133,2008,Mar,Debt/Credit Issues,109,March
256,2009,Mar,Debt/Credit Issues,72,March
387,2010,Mar,Debt/Credit Issues,203,March
519,2011,Mar,Debt/Credit Issues,405,March
651,2012,Mar,Debt/Credit Issues,1081,March
783,2013,Mar,Debt/Credit Issues,3852,March
905,2014,Mar,Debt/Credit Issues,9242,March
1014,2015,Mar,Debt/Credit Issues,14574,March
1122,2016,Mar,Debt/Credit Issues,30654,March
1230,2017,Mar,Debt/Credit Issues,19279,March
1338,2018,Mar,Debt/Credit Issues,17796,March
134,2008,Mar,Home,14,March
257,2009,Mar,Home,19,March
388,2010,Mar,Home,43,March
520,2011,Mar,Home,107,March
652,2012,Mar,Home,201,March
784,2013,Mar,Home,481,March
906,2014,Mar,Home,924,March
1015,2015,Mar,Home,1469,March
1123,2016,Mar,Home,4031,March
1231,2017,Mar,Home,2806,March
1339,2018,Mar,Home,3244,March
135,2008,Mar,Major Purchase,6,March
258,2009,Mar,Major Purchase,9,March
389,2010,Mar,Major Purchase,7,March
521,2011,Mar,Major Purchase,19,March
653,2012,Mar,Major Purchase,41,March
785,2013,Mar,Major Purchase,77,March
907,2014,Mar,Major Purchase,242,March
1016,2015,Mar,Major Purchase,400,March
1124,2016,Mar,Major Purchase,1306,March
1232,2017,Mar,Major Purchase,833,March
1340,2018,Mar,Major Purchase,1097,March
136,2008,Mar,Medical,3,March
259,2009,Mar,Medical,3,March
390,2010,Mar,Medical,3,March
522,2011,Mar,Medical,14,March
654,2012,Mar,Medical,24,March
786,2013,Mar,Medical,43,March
908,2014,Mar,Medical,138,March
1017,2015,Mar,Medical,196,March
1125,2016,Mar,Medical,564,March
1233,2017,Mar,Medical,478,March
1341,2018,Mar,Medical,560,March
137,2008,Mar,Moving,1,March
260,2009,Mar,Moving,5,March
391,2010,Mar,Moving,5,March
523,2011,Mar,Moving,13,March
655,2012,Mar,Moving,19,March
787,2013,Mar,Moving,39,March
909,2014,Mar,Moving,63,March
1018,2015,Mar,Moving,124,March
1126,2016,Mar,Moving,315,March
1234,2017,Mar,Moving,250,March
1342,2018,Mar,Moving,246,March
138,2008,Mar,Other,135,March
261,2009,Mar,Other,111,March
392,2010,Mar,Other,342,March
524,2011,Mar,Other,491,March
656,2012,Mar,Other,740,March
788,2013,Mar,Other,1651,March
910,2014,Mar,Other,621,March
1019,2015,Mar,Other,1071,March
1127,2016,Mar,Other,3224,March
1235,2017,Mar,Other,2226,March
1343,2018,Mar,Other,3148,March
139,2008,Mar,Student,17,March
262,2009,Mar,Student,10,March
393,2010,Mar,Student,20,March
525,2011,Mar,Student,9,March
657,2012,Mar,Student,8,March
789,2013,Mar,Student,21,March
263,2009,Mar,Vacation,2,March
394,2010,Mar,Vacation,5,March
526,2011,Mar,Vacation,11,March
658,2012,Mar,Vacation,11,March
790,2013,Mar,Vacation,20,March
911,2014,Mar,Vacation,61,March
1020,2015,Mar,Vacation,124,March
1128,2016,Mar,Vacation,327,March
1236,2017,Mar,Vacation,313,March
1344,2018,Mar,Vacation,277,March
140,2008,Mar,Wedding,12,March
264,2009,Mar,Wedding,9,March
395,2010,Mar,Wedding,28,March
527,2011,Mar,Wedding,49,March
659,2012,Mar,Wedding,50,March
791,2013,Mar,Wedding,84,March
58,2008,Apr,Business,18,April
178,2009,Apr,Business,17,April
308,2010,Apr,Business,11,April
440,2011,Apr,Business,30,April
572,2012,Apr,Business,71,April
704,2013,Apr,Business,63,April
836,2014,Apr,Business,195,April
948,2015,Apr,Business,275,April
1057,2016,Apr,Business,354,April
1165,2017,Apr,Business,301,April
1273,2018,Apr,Business,417,April
59,2008,Apr,Car,55,April
179,2009,Apr,Car,61,April
309,2010,Apr,Car,104,April
441,2011,Apr,Car,213,April
573,2012,Apr,Car,496,April
705,2013,Apr,Car,1544,April
837,2014,Apr,Car,4491,April
949,2015,Apr,Car,7811,April
1058,2016,Apr,Car,6993,April
1166,2017,Apr,Car,6065,April
1274,2018,Apr,Car,9857,April
60,2008,Apr,Debt/Credit Issues,67,April
180,2009,Apr,Debt/Credit Issues,50,April
310,2010,Apr,Debt/Credit Issues,233,April
442,2011,Apr,Debt/Credit Issues,448,April
574,2012,Apr,Debt/Credit Issues,1200,April
706,2013,Apr,Debt/Credit Issues,4323,April
838,2014,Apr,Debt/Credit Issues,10720,April
950,2015,Apr,Debt/Credit Issues,20497,April
1059,2016,Apr,Debt/Credit Issues,17388,April
1167,2017,Apr,Debt/Credit Issues,15139,April
1275,2018,Apr,Debt/Credit Issues,19377,April
61,2008,Apr,Home,8,April
181,2009,Apr,Home,19,April
311,2010,Apr,Home,55,April
443,2011,Apr,Home,126,April
575,2012,Apr,Home,217,April
707,2013,Apr,Home,598,April
839,2014,Apr,Home,1180,April
951,2015,Apr,Home,2276,April
1060,2016,Apr,Home,2556,April
1168,2017,Apr,Home,2609,April
1276,2018,Apr,Home,3724,April
62,2008,Apr,Major Purchase,2,April
182,2009,Apr,Major Purchase,12,April
312,2010,Apr,Major Purchase,10,April
444,2011,Apr,Major Purchase,21,April
576,2012,Apr,Major Purchase,42,April
708,2013,Apr,Major Purchase,92,April
840,2014,Apr,Major Purchase,315,April
952,2015,Apr,Major Purchase,585,April
1061,2016,Apr,Major Purchase,804,April
1169,2017,Apr,Major Purchase,684,April
1277,2018,Apr,Major Purchase,1172,April
63,2008,Apr,Medical,2,April
183,2009,Apr,Medical,3,April
313,2010,Apr,Medical,10,April
445,2011,Apr,Medical,13,April
577,2012,Apr,Medical,38,April
709,2013,Apr,Medical,63,April
